대분류,중분류,소분류,사례수,빈도유형,성인_독서빈도,연도
성별,여성,2515,1.6,15.9,15.8,2023
연령별,20대 이하,789,3.0,15.9,34.5,2023
연령별,30대,772,1.3,15.9,23.9,2023
연령별,40대,905,1.6,15.9,13.6,2023
연령별,50대,973,1.3,15.9,11.2,2023
연령별,60대 이상,1560,0.4,15.9,6.6,2023
학력별,중졸 이하,642,0.0,15.9,1.7,2023
학력별,고졸 고퇴,1772,0.7,15.9,7.3,2023
학력별,대재 이상,2586,2.1,15.9,25.2,2023
월평균가구소득,200만원 미만,373,0.2,15.9,1.7,2023
월평균가구소득,200-300만원 미만,580,1.0,15.9,8.3,2023
월평균가구소득,300-400만원 미만,961,1.0,15.9,10.5,2023
월평균가구소득,400-500만원 미만,1041,1.1,15.9,14.6,2023
월평균가구소득,500만원 이상,2046,1.9,15.9,23.7,2023
연간 독서량,없음,2850,0.0,15.9,0.0,2023
연간 독서량,1~5권,1061,0.9,15.9,21.2,2023
연간 독서량,6~10권,573,1.9,15.9,41.9,2023
연간 독서량,11~15권,241,6.2,15.9,54.2,2023
연간 독서량,16~20권,95,8.3,15.9,71.4,2023
연간 독서량,21권 이상,179,13.0,15.9,72.2,2023
성별,여성,2515,1.6,14.3,15.2,2023
연령별,20대 이하,789,3.0,14.3,25.2,2023
연령별,30대,772,1.3,14.3,28.0,2023
연령별,40대,905,1.6,14.3,16.0,2023
연령별,50대,973,1.3,14.3,12.1,2023
연령별,60대 이상,1560,0.4,14.3,4.0,2023
학력별,중졸 이하,642,0.0,14.3,2.8,2023
학력별,고졸 고퇴,1772,0.7,14.3,6.4,2023
학력별,대재 이상,2586,2.1,14.3,23.5,2023
월평균가구소득,200만원 미만,373,0.2,14.3,3.3,2023
월평균가구소득,200-300만원 미만,580,1.0,14.3,8.8,2023
월평균가구소득,300-400만원 미만,961,1.0,14.3,10.9,2023
월평균가구소득,400-500만원 미만,1041,1.1,14.3,18.1,2023
월평균가구소득,500만원 이상,2046,1.9,14.3,18.7,2023
연간 독서량,없음,2850,0.0,14.3,0.0,2023
연간 독서량,1~5권,1061,0.9,14.3,33.8,2023
연간 독서량,6~10권,573,1.9,14.3,42.6,2023
연간 독서량,11~15권,241,6.2,14.3,39.0,2023
연간 독서량,16~20권,95,8.3,14.3,18.8,2023
연간 독서량,21권 이상,179,13.0,14.3,13.4,2023
성별,여성,2515,1.6,11.3,10.8,2023
연령별,20대 이하,789,3.0,11.3,11.7,2023
연령별,30대,772,1.3,11.3,14.9,2023
연령별,40대,905,1.6,11.3,16.6,2023
연령별,50대,973,1.3,11.3,12.3,2023
연령별,60대 이상,1560,0.4,11.3,4.7,2023
학력별,중졸 이하,642,0.0,11.3,2.9,2023
학력별,고졸 고퇴,1772,0.7,11.3,8.9,2023
학력별,대재 이상,2586,2.1,11.3,14.5,2023
월평균가구소득,200만원 미만,373,0.2,11.3,4.7,2023
월평균가구소득,200-300만원 미만,580,1.0,11.3,9.5,2023
월평균가구소득,300-400만원 미만,961,1.0,11.3,13.7,2023
월평균가구소득,400-500만원 미만,1041,1.1,11.3,12.9,2023
월평균가구소득,500만원 이상,2046,1.9,11.3,10.4,2023
연간 독서량,없음,2850,0.0,11.3,0.0,2023
연간 독서량,1~5권,1061,0.9,11.3,44.1,2023
연간 독서량,6~10권,573,1.9,11.3,13.6,2023
연간 독서량,11~15권,241,6.2,11.3,0.6,2023
연간 독서량,16~20권,95,8.3,11.3,1.4,2023
연간 독서량,21권 이상,179,13.0,11.3,1.3,2023
성별,여성,2515,1.6,57.4,56.6,2023
연령별,20대 이하,789,3.0,57.4,25.5,2023
연령별,30대,772,1.3,57.4,32.0,2023
연령별,40대,905,1.6,57.4,52.1,2023
연령별,50대,973,1.3,57.4,63.1,2023
연령별,60대 이상,1560,0.4,57.4,84.3,2023
학력별,중졸 이하,642,0.0,57.4,92.6,2023
학력별,고졸 고퇴,1772,0.7,57.4,76.6,2023
학력별,대재 이상,2586,2.1,57.4,34.7,2023
월평균가구소득,200만원 미만,373,0.2,57.4,90.2,2023
월평균가구소득,200-300만원 미만,580,1.0,57.4,72.3,2023
월평균가구소득,300-400만원 미만,961,1.0,57.4,63.9,2023
월평균가구소득,400-500만원 미만,1041,1.1,57.4,53.3,2023
월평균가구소득,500만원 이상,2046,1.9,57.4,45.3,2023
연간 독서량,없음,2850,0.0,57.4,100.0,2023
연간 독서량,1~5권,1061,0.9,57.4,0.0,2023
연간 독서량,6~10권,573,1.9,57.4,0.0,2023
연간 독서량,11~15권,241,6.2,57.4,0.0,2023
연간 독서량,16~20권,95,8.3,57.4,0.0,2023
연간 독서량,21권 이상,179,13.0,57.4,0.0,2023
