대분류,중분류,소분류,세부구분,사례수,학생_독서율,연도
학교급,초등학교,소계,817,99.8,0.2,2023
학교급,중학교,소계,806,94.7,5.3,2023
학교급,고등학교,소계,777,92.8,7.2,2023
학교급 성별,초등학교,남,417,99.6,0.4,2023
학교급 성별,초등학교,여,400,100.0,0.0,2023
학교급 성별,중학교,남,397,92.8,7.2,2023
학교급 성별,중학교,여,408,96.6,3.4,2023
학교급 성별,고등학교,남,430,90.5,9.5,2023
학교급 성별,고등학교,여,347,95.7,4.3,2023
학교급 학년,초등학교,4학년,256,100.0,0.0,2023
학교급 학년,초등학교,5학년,284,100.0,0.0,2023
학교급 학년,초등학교,6학년,277,99.4,0.6,2023
학교급 학년,중학교,1학년,275,96.4,3.6,2023
학교급 학년,중학교,2학년,260,92.4,7.6,2023
학교급 학년,중학교,3학년,271,95.1,4.9,2023
학교급 학년,고등학교,1학년,307,94.0,6.0,2023
학교급 학년,고등학교,2학년,250,95.1,4.9,2023
학교급 학년,고등학교,3학년,221,88.7,11.3,2023
