시군구,대출자수,대출권수,자료구입비_천원
가평군,59805,130187,114169
강남구,261868,2498486,1182184
강동구,110908,1905350,894860
강릉시,143716,343745,315864
강북구,39048,486071,299023
강서구,231570,1753637,1116765
강진군,1823,48576,52700
강화군,5026,75719,99421
거제시,127742,795296,620455
거창군,20320,139519,193567
경산시,25805,401770,646400
경주시,44791,488651,501268
계룡시,8813,169899,129077
계양구,33856,501279,364848
고령군,2682,54958,109200
고성군,24619,117695,202740
고양시,442634,3659420,2158623
고창군,15469,50767,80592
고흥군,8186,68267,222372
곡성군,3173,37956,108400
공주시,7787,201058,353076
과천시,61915,816796,496959
관악구,150107,450829,408929
광명시,91570,1099030,778865
광산구,32567,661831,323790
광양시,22970,472845,609099
광주시,83748,944949,890445
광진구,113348,1283116,830014
괴산군,1292,27230,27558
구례군,2310,61602,103800
구로구,85857,906321,742082
구리시,66028,718093,403401
구미시,116637,1069244,1377344
군산시,87018,643587,581782
군위군,1074,31209,25900
군포시,78651,1333845,609786
금산군,16105,89394,144712
금정구,36853,684475,481953
금천구,66116,418259,562671
기장군,120291,711790,526999
김제시,4135,66770,158700
김천시,13145,391069,297250
김포시,87448,1922278,554920
김해시,301127,1766060,990304
나주시,58714,386898,722134
남구,140362,2839081,3308511
남동구,62584,1009263,1005872
남양주시,154649,2011947,770909
남원시,13579,101642,395875
남해군,5811,61620,76371
노원구,154544,1316184,844024
논산시,10383,269485,327977
단양군,9228,43484,79392
달서구,102965,1316258,560892
달성군,24094,528065,347829
담양군,2420,102793,135200
당진시,106659,307240,248013
대덕구,10741,213250,263590
도봉구,101909,768706,711477
동구,194383,2720746,2319793
동대문구,62192,1068935,815105
동두천시,16407,114348,399925
동래구,45355,346266,326634
동작구,134644,818278,650190
동해시,20371,314668,293445
마포구,90601,1426144,803078
목포시,47047,316728,353293
무안군,91665,397773,783730
무주군,13712,33214,91660
문경시,7178,175731,245847
미추홀구,22500,294533,338816
밀양시,57189,176622,302755
보령시,13389,171720,233907
보성군,10234,76076,202647
보은군,12156,36977,59883
봉화군,7537,26661,77840
부산진구,59754,796352,1041462
부안군,2560,52168,101280
부여군,3543,47492,69860
부천시,270027,2025976,1441861
부평구,91102,959735,1042514
북구,391613,3307711,2348277
사상구,38000,570961,1537820
사천시,36289,296962,498059
사하구,87323,392468,423297
산청군,17139,84080,140060
삼척시,8968,117373,165380
상주시,10070,191146,213195
서구,388248,3846243,2840389
서귀포시,84817,720765,618475
서대문구,29528,549837,504916
서산시,88305,563830,581883
서천군,2085,31712,94023
서초구,154385,1409257,932388
성남시,464400,4317339,2131235
성동구,57350,892365,436252
성북구,98343,805480,543130
성주군,1891,50794,62000
세종시,154671,2153577,821966
속초시,44673,180368,186800
송파구,165165,1850539,735296
수성구,135171,2218133,1093761
수영구,136816,592014,336006
수원시,471049,3776274,2229247
순창군,18463,20423,74340
순천시,45566,685522,644503
시흥시,62523,1937049,821291
신안군,898,3003,14114
아산시,63445,1035339,1187341
안동시,17682,545844,533151
안산시,103831,862019,1917979
안성시,27077,721460,590886
안양시,162705,2103834,1389375
양구군,1731,42260,60983
양산시,83528,1040410,701528
양양군,14994,47328,45000
양주시,93492,699836,219982
양천구,234833,1614639,1587155
양평군,20483,309643,351730
여수시,70185,716048,689471
여주시,20458,367540,421249
연수구,286153,1247409,884565
연제구,29479,489803,334765
연천군,4021,90550,55760
영광군,2585,89242,166314
영덕군,1696,43836,46495
영도구,16226,183460,242860
영동군,7242,42326,62780
영등포구,59369,972872,555978
영암군,23725,86983,210380
영양군,829,23215,65000
영월군,15536,37985,64570
영주시,18890,273966,467248
영천시,19187,150956,194224
예산군,10338,56935,149950
예천군,16874,235756,830631
오산시,47948,759943,352302
옥천군,3150,67055,110913
옹진군,265,1160,3000
완도군,12181,33047,97500
완주군,34067,192156,228714
용산구,34156,621848,644211
용인시,410053,5760860,2555098
울릉군,468,12150,61127
울주군,118500,485649,433695
울진군,11959,99471,129600
원주시,65171,961081,738099
유성구,105706,1154724,615580
은평구,161522,1057777,472799
음성군,16961,126497,166978
의령군,2241,42483,97240
의성군,7331,64402,120380
의왕시,42089,875693,409661
의정부시,138440,810776,305264
이천시,27006,602089,438787
익산시,116756,628373,710559
인제군,3538,73995,226084
임실군,6897,19005,96575
장성군,166820,155585,309360
장수군,8177,19239,63264
장흥군,7323,53425,109142
전주시,181772,1513922,749263
정선군,15355,45976,375506
정읍시,19635,204144,317389
제주시,452970,1800015,1114218
제천시,56782,373032,605384
종로구,182776,925983,952471
중구,300853,2816489,3900401
중랑구,109893,773432,368155
증평군,4328,72674,81240
진도군,3186,31707,112133
진안군,941,16970,30000
진주시,46307,876201,421914
진천군,58336,175280,203683
창녕군,17090,111150,181632
창원시,302008,3259086,2209008
천안시,212195,1986369,1491879
철원군,32242,89316,173644
청도군,3096,75202,86599
청송군,1237,34438,91114
청양군,1969,21858,84995
청주시,493313,2601127,1605962
춘천시,168429,785457,953780
충주시,51264,491000,519501
칠곡군,9075,223713,283898
태백시,9888,95627,205268
태안군,4565,142104,190404
통영시,15500,269114,247752
파주시,185345,1550386,1120977
평창군,23628,72521,127215
평택시,139135,1647578,870239
포천시,13771,202741,306689
포항시,104759,1005589,624131
하남시,86133,1584519,607957
하동군,11531,52187,83292
함안군,20728,120354,150960
함양군,10055,57733,92628
함평군,2369,23970,74200
합천군,2044,45927,69380
해남군,3445,77224,137693
해운대구,180433,1178098,837039
홍성군,18823,452402,671867
홍천군,25915,95543,165340
화성시,320263,3999849,1722667
화순군,3979,101578,124416
화천군,19469,49592,66375
횡성군,10456,65787,161711
